price,vin,stock,model,body,exterior,interior,engine,location
" $44,902",5TFUY5F17LX900056,LX900056,8341,Double Cab,Blue,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $44,055",JTEBU5JRXL5805613,L5805613,8667,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $44,741",JTEBU5JR4L5800763,L5800763,8667,Sport Utility,Silver,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $49,581",5TDXBRCH8LS001834,LS001834,6966,Sport Utility,White,Gray,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $67,224",5TDBY5G1XLS177721,LS177721,7928,Sport Utility,Green,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $51,670",5TFAY5F10LX892255,LX892255,8376,CrewMax,Black,Brown/Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $54,125",5TFAY5F1XLX916982,LX916982,8376,CrewMax,Gray,Brown/Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $47,626",JTEBU5JRXL5802419,L5802419,8669,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $66,384",5TDDY5G17LS177961,LS177961,7933,Sport Utility,Silver,Redrock/Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $51,680",JTEBU5JRXL5805899,L5805899,8674,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $48,859",5TFHY5F15LX894534,LX894534,8372,CrewMax,Gray,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $48,668",5TDFZRBH0LS025733,LS025733,6957,Sport Utility,White,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $48,570",5TDDZ3DC4LS241946,LS241946,5387,Mini-Van,White,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $48,859",5TFHY5F12LX897391,LX897391,8372,CrewMax,White,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $47,627",JTEBU5JR8L5800779,L5800779,8669,Sport Utility,Gray,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
" $48,429",5TFHY5F15LX892220,LX892220,8372,CrewMax,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
