price,vin,stock,model,body,exterior,interior,engine,location
" $32,731",2T3A1RFV9LW093254,LW093254,4478,Sport Utility,Blue,Light Gray,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $30,556",4T1E31AK5LU012513,LU012513,2559,Sedan,White,Macadamia,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $32,917",2T3RWRFV6LW081793,LW081793,4444,Sport Utility,Silver,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $32,885",2T3RWRFV5LW078917,LW078917,4444,Sport Utility,Black,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $32,697",3TMCZ5AN9LM341036,LM341036,7594,SR Double Cab 5' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $32,731",2T3A1RFV4LW091590,LW091590,4478,Sport Utility,Gray,Light Gray,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,304",2T3P1RFV9LW113027,LW113027,4442,Sport Utility,Gray,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,212",2T3P1RFV8LW111933,LW111933,4442,Sport Utility,Black,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,164",JTMP1RFV7LD059305,LD059305,4442,Sport Utility,Silver,Light Gray,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,157",2T3P1RFV2LC090076,LC090076,4442,Sport Utility,Silver,Light Gray,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,159",4T1K61AK4LU365125,LU365125,2548,Sedan,Wind Chill Pearl,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,047",4T1NZ1AK9LU037168,LU037168,2550,Sedan,Celestial Silver,BLACK/RED,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $30,718",2T3P1RFV1LW113961,LW113961,4442,Sport Utility,Red,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $31,164",2T3P1RFV8LW111317,LW111317,4442,Sport Utility,Blue,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
